,,,,,,,,,,,,,,,,,,,,
,CAS RN,Name,Midpoint Ecotox. Charact. factor [PAF.m3.day/kgemitted],,,,,,,,Endpoint Ecotox. Charact. factor [PDF.m3.day/kgemitted],,,,,,,,CHARACTERIZATION FACTOR FLAGGING,
,,,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,Em.hom.airI,Em.ind.airI,Em.airU,Em.airC,Em.fr.waterC,Em.sea waterC,Em.nat.soilC,Em.agr.soilC,(F=indicative; n/a=not available),
,,,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,freshwater,,Ecotox
,531-18-0,"Methanol, (1,3,5-triazine-2,4,6-triyltrinitrilo)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,10034-93-2,Hydrazine sulfate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,13743-07-2,"UREA, N-(2-HYDROXYETHYL)-N-NITROSO",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,109-84-2,"Ethanol, 2-hydrazino-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,53-86-1,INDOMETHACIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,542-56-3,"Nitrous acid, 2-methylpropyl ester",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,22071-15-4,KETOPROFEN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,75330-75-5,LOVASTATIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,59-51-8,DL-Methionine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,59-05-2,METHOTREXATE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,758-17-8,N-Formyl-N-methyl hydrazine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,66-27-3,METHYL METHANE SULFONATE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,924-42-5,N-(Hydroxymethyl)acrylamide,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1068-57-1,ACETIC ACID HYDRAZIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,124-58-3,METHANE ARSONATE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,553-53-7,"3-Pyridinecarboxylic acid, hydrazide",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,18662-53-8,Trsodium nitrilotriacetate monohydrate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,36133-88-7,"N-{[3-(5-NITRO-2-FURYL)-1,2,4-OXADIAZOLE-5-YL]-METHYL}ACETAMIDE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,4812-22-0,3-NITRO-3-HEXENE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,602-87-9,"ACENAPHTHYLENE, 1,2-DIHYDRO-5-NITRO-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,62-23-7,P-NITROBENZOIC ACID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,79-24-3,NITROETHANE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1456-28-6,"2,6-DIMETHYL-N-NITROSOMORPHOLINE",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,55090-44-3,N-Methyl-N-nitrosolaurylamine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,13256-11-6,NITROSO-N-METHYL-N-(2-PHENYL)ETHYLAMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,53609-64-6,Diisopropanolnitrosamine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,60599-38-4,N-NITROSOBIS(2-OXOPROPYL)AMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,924-16-3,Dibutylnitrosamine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1116-54-7,N-Nitrosodiethanolamine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,621-64-7,N-Nitrosodipropylamine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,17608-59-2,N-NITROSOEPHEDRINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,10595-95-6,N-METHYL-N-NITROSOETHAMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,614-95-9,ETHYL N-ETHYLNITROSOCARBAMATE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,20917-49-1,N-NITROSO-HEPTAMETHYLENEIMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,932-83-2,N-NITROSOHEXAMETHYLENEIMINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,42579-28-2,1-NITROSOHYDANTOIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,100-75-4,N-Nitrosopiperidine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,26541-51-5,N-NITROSOTHIOMORPHOLINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,27753-52-2,"1,1'-Biphenyl, nonabromo-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,57590-20-2,PENTANAL METHYLFORMYLHYDRAZONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,1119-68-2,n-PENTYLHYDRAZINE.HCl,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,156-51-4,Phenelzine Sulfate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,59-88-1,"Phenylhydrazine, Monohydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,110-85-0,PIPERAZINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,110-89-4,PIPERIDINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,57-66-9,PROBENECID,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,99-50-3,"3,4-DIHYDROXYBENZOIC ACID",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,6459-94-5,ACID RED 114,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,915-67-3,AMARANTH,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,7411-49-6,"3,3'-Diaminobenzidine tetrachloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,509-14-8,TETRANITROMETHANE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,58-55-9,THEOPHYLLINE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,97-18-7,"Phenol, 2,2'-thiobis 4,6-dichloro-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,21436-97-5,"2,4,5-Trimethylaniline hydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,122-20-3,"2-Propanol, 1,1',1''-nitrilotris-",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,66-22-8,URACIL,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,75-02-5,VINYLFLUORIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,21436-96-4,"2,4-Dimethylaniline hydrochloride",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a
,100-12-9,4-ETHYLNITROBENZENE,2.36E+00,2.36E+00,2.36E+00,2.35E+00,1.52E+02,2.72E-01,6.07E+00,6.07E+00,1.18E+00,1.18E+00,1.18E+00,1.17E+00,7.58E+01,1.36E-01,3.03E+00,3.03E+00,,F
,1002-62-6,"DECANOIC ACID, NA SALT",4.63E+01,4.94E+01,5.14E+01,4.12E+01,1.77E+02,2.48E-10,4.35E+01,4.35E+01,2.32E+01,2.47E+01,2.57E+01,2.06E+01,8.84E+01,1.24E-10,2.17E+01,2.17E+01,,F
,10031-82-0,"Benzaldehyde, 4-ethoxy-",2.47E+00,2.57E+00,2.64E+00,2.30E+00,4.63E+02,2.19E-02,2.84E+01,2.84E+01,1.23E+00,1.28E+00,1.32E+00,1.15E+00,2.31E+02,1.09E-02,1.42E+01,1.42E+01,,F
,100-43-6,4-VINYLPYRIDINE,9.88E+00,1.09E+01,1.17E+01,8.10E+00,1.43E+03,1.02E-01,1.91E+01,4.29E+01,4.94E+00,5.47E+00,5.83E+00,4.05E+00,7.13E+02,5.10E-02,9.55E+00,2.15E+01,,F
,100-48-1,4-CYANOPYRIDINE,4.58E+00,4.65E+00,4.71E+00,4.44E+00,5.11E+01,1.71E-02,7.76E+00,7.76E+00,2.29E+00,2.33E+00,2.35E+00,2.22E+00,2.55E+01,8.56E-03,3.88E+00,3.88E+00,,F
,100-54-9,3-CYANOPYRIDINE,1.07E+01,1.09E+01,1.11E+01,1.04E+01,6.52E+01,1.20E-02,1.49E+01,1.49E+01,5.37E+00,5.47E+00,5.53E+00,5.20E+00,3.26E+01,6.00E-03,7.44E+00,7.44E+00,,F
,100-55-0,3-PYRIDINEMETHANOL,1.12E+00,1.48E+00,1.72E+00,5.08E-01,5.92E+00,1.50E-07,1.93E-01,6.18E-01,5.58E-01,7.40E-01,8.61E-01,2.54E-01,2.96E+00,7.50E-08,9.65E-02,3.09E-01,,F
,100-64-1,CYCLOHEXANONE OXIME,7.00E+00,7.43E+00,7.71E+00,6.30E+00,8.89E+01,2.56E-03,1.30E+01,1.30E+01,3.50E+00,3.71E+00,3.85E+00,3.15E+00,4.45E+01,1.28E-03,6.49E+00,6.50E+00,,F
,100-68-5,THIOANISOLE,4.95E+00,4.96E+00,4.97E+00,4.92E+00,1.75E+03,3.26E-01,4.37E+01,4.37E+01,2.47E+00,2.48E+00,2.49E+00,2.46E+00,8.73E+02,1.63E-01,2.18E+01,2.18E+01,,F
,100-70-9,2-CYANOPYRIDINE,1.03E+01,1.04E+01,1.05E+01,1.02E+01,5.43E+01,2.06E-02,1.90E+01,1.90E+01,5.17E+00,5.21E+00,5.23E+00,5.10E+00,2.71E+01,1.03E-02,9.52E+00,9.52E+00,,F
,100-71-0,2-ETHYLPYRIDINE,1.04E+00,1.08E+00,1.10E+00,9.92E-01,3.58E+01,5.02E-02,7.05E-01,2.21E+00,5.22E-01,5.38E-01,5.49E-01,4.96E-01,1.79E+01,2.51E-02,3.52E-01,1.10E+00,,F
,100-79-8,DIOXOLANE,1.92E-04,1.90E-04,1.89E-04,1.95E-04,2.73E-01,1.54E-05,2.59E-02,2.59E-02,9.61E-05,9.52E-05,9.47E-05,9.75E-05,1.36E-01,7.71E-06,1.29E-02,1.29E-02,,F
,1008-88-4,3-PHENYLPYRIDINE,4.82E+01,5.60E+01,6.12E+01,3.51E+01,7.86E+02,1.83E-02,2.76E+01,3.17E+01,2.41E+01,2.80E+01,3.06E+01,1.76E+01,3.93E+02,9.13E-03,1.38E+01,1.59E+01,,F
,1008-89-5,2-PHENYLPYRIDINE,1.09E+01,1.15E+01,1.18E+01,1.01E+01,4.07E+02,8.03E-02,1.45E+01,1.51E+01,5.47E+00,5.73E+00,5.90E+00,5.03E+00,2.03E+02,4.01E-02,7.24E+00,7.57E+00,,F
,10114-58-6,Bismark Brown Y,4.23E+04,4.24E+04,4.25E+04,4.21E+04,1.45E+05,1.30E-14,5.83E+04,5.83E+04,2.11E+04,2.12E+04,2.12E+04,2.10E+04,7.27E+04,6.51E-15,2.91E+04,2.91E+04,,F
,101-20-2,Triclocarban,1.75E+05,2.56E+05,3.10E+05,4.02E+04,1.36E+06,3.99E-01,7.70E+03,7.70E+03,8.75E+04,1.28E+05,1.55E+05,2.01E+04,6.79E+05,1.99E-01,3.85E+03,3.85E+03,,F
,101-55-3,4-BROMOPHENYL PHENYL ETHER,6.67E+00,6.95E+00,7.14E+00,6.21E+00,2.27E+03,8.56E-01,4.07E+00,4.07E+00,3.34E+00,3.48E+00,3.57E+00,3.10E+00,1.14E+03,4.28E-01,2.04E+00,2.04E+00,,F
,101-81-5,"BENZENE, 1,1'-METHYLENEBIS-",2.91E+00,3.01E+00,3.07E+00,2.75E+00,7.62E+02,1.59E-01,2.21E+00,2.21E+00,1.45E+00,1.50E+00,1.54E+00,1.37E+00,3.81E+02,7.97E-02,1.10E+00,1.10E+00,,F
,101-82-6,2-BENZYLPYRIDINE,1.90E+01,2.18E+01,2.37E+01,1.42E+01,5.54E+02,2.36E-02,1.29E+01,1.51E+01,9.48E+00,1.09E+01,1.18E+01,7.12E+00,2.77E+02,1.18E-02,6.46E+00,7.57E+00,,F
,102-08-9,THIOCARBANILIDE,9.31E+01,1.30E+02,1.55E+02,3.15E+01,1.09E+03,1.51E-03,3.95E+01,3.95E+01,4.65E+01,6.50E+01,7.73E+01,1.58E+01,5.43E+02,7.53E-04,1.98E+01,1.98E+01,,F
,102-27-2,"Benzenamine, N-ethyl-3-methyl-",1.94E-01,2.24E-01,2.44E-01,1.43E-01,1.86E+02,1.31E-02,3.77E+00,5.70E+00,9.68E-02,1.12E-01,1.22E-01,7.17E-02,9.31E+01,6.57E-03,1.89E+00,2.85E+00,,F
,102-81-8,2-Dibutylaminoethanol,1.21E+01,1.82E+01,2.22E+01,1.89E+00,8.38E+01,2.83E-05,1.91E-02,1.91E-02,6.03E+00,9.09E+00,1.11E+01,9.44E-01,4.19E+01,1.42E-05,9.54E-03,9.56E-03,,F
,102-97-6,"BENZENEMETHANAMINE, N-(1-METHYLETHYL)-",5.56E+01,8.37E+01,1.02E+02,8.86E+00,3.87E+02,7.69E-04,1.39E-01,1.39E-01,2.78E+01,4.18E+01,5.12E+01,4.43E+00,1.93E+02,3.84E-04,6.94E-02,6.95E-02,,F
,103-05-9,"Benzenepropanol, ,alpha,,,alpha,-dimethyl-",9.28E+00,1.00E+01,1.05E+01,8.04E+00,5.11E+02,3.69E-02,2.75E+01,2.75E+01,4.64E+00,5.01E+00,5.26E+00,4.02E+00,2.55E+02,1.84E-02,1.38E+01,1.38E+01,,F
,1031-07-8,ENDOSULFAN SULFATE,8.67E+03,9.62E+03,1.03E+04,7.08E+03,2.11E+05,2.10E+01,1.44E+04,1.44E+04,4.33E+03,4.81E+03,5.13E+03,3.54E+03,1.05E+05,1.05E+01,7.22E+03,7.22E+03,,F
,103-74-2,2-PYRIDINEETHANOL,2.47E+02,3.28E+02,3.82E+02,1.13E+02,1.36E+03,2.91E-04,2.20E+01,1.57E+02,1.24E+02,1.64E+02,1.91E+02,5.64E+01,6.78E+02,1.45E-04,1.10E+01,7.86E+01,,F
,103-76-4,1-Piperazineethanol,4.20E-01,6.16E-01,7.48E-01,9.23E-02,2.90E+00,1.46E-09,5.35E-02,5.36E-02,2.10E-01,3.08E-01,3.74E-01,4.61E-02,1.45E+00,7.31E-10,2.67E-02,2.68E-02,,F
,103-84-4,ACETANILIDE,3.62E+01,4.20E+01,4.58E+01,2.65E+01,1.75E+02,2.45E-04,2.76E+01,2.76E+01,1.81E+01,2.10E+01,2.29E+01,1.33E+01,8.74E+01,1.23E-04,1.38E+01,1.38E+01,,F
,104-13-2,"BENZENAMINE, 4-BUTYL-",2.28E+00,2.89E+00,3.29E+00,1.27E+00,1.21E+03,1.77E-02,1.21E+01,1.29E+01,1.14E+00,1.44E+00,1.64E+00,6.35E-01,6.05E+02,8.83E-03,6.05E+00,6.46E+00,,F
,104-42-7,P-DODECYLANILINE,3.22E+05,4.37E+05,5.14E+05,1.30E+05,9.89E+06,4.36E+00,2.26E+04,1.09E+04,1.61E+05,2.18E+05,2.57E+05,6.52E+04,4.94E+06,2.18E+00,1.13E+04,5.43E+03,,F
,10443-70-6,MCPB-ETHYL,3.82E+02,5.27E+02,6.24E+02,1.41E+02,7.26E+03,2.10E-02,4.09E+01,4.09E+01,1.91E+02,2.64E+02,3.12E+02,7.03E+01,3.63E+03,1.05E-02,2.05E+01,2.05E+01,,F
,104-43-8,"PHENOL, 4-DODECYL-",2.74E+01,3.87E+01,4.62E+01,8.68E+00,7.38E+03,9.26E-02,5.62E-01,5.62E-01,1.37E+01,1.93E+01,2.31E+01,4.34E+00,3.69E+03,4.63E-02,2.81E-01,2.81E-01,,F
,104-51-8,N-BUTYLBENZENE,6.42E-01,7.45E-01,8.14E-01,4.70E-01,8.55E+03,4.04E-02,1.26E+01,1.26E+01,3.21E-01,3.73E-01,4.07E-01,2.35E-01,4.28E+03,2.02E-02,6.31E+00,6.31E+00,,F
,104-85-8,4-METHYLBENZONITRILE,1.15E+00,1.15E+00,1.15E+00,1.15E+00,4.69E+01,5.19E-02,3.41E+00,3.41E+00,5.74E-01,5.75E-01,5.76E-01,5.73E-01,2.35E+01,2.59E-02,1.70E+00,1.70E+00,,F
,104-87-0,P-TOLUALDEHYDE,4.96E-01,4.99E-01,5.02E-01,4.89E-01,7.61E+01,1.10E-02,4.57E+00,4.57E+00,2.48E-01,2.50E-01,2.51E-01,2.45E-01,3.80E+01,5.50E-03,2.28E+00,2.28E+00,,F
,104-90-5,5-ETHYL-2-METHYLPYRIDINE,4.99E+00,5.30E+00,5.50E+00,4.49E+00,1.83E+02,2.41E-01,2.09E+00,5.60E+00,2.50E+00,2.65E+00,2.75E+00,2.25E+00,9.16E+01,1.20E-01,1.04E+00,2.80E+00,,F
,104-94-9,p-Anisidine,2.23E+02,2.88E+02,3.31E+02,1.14E+02,4.54E+03,2.97E-02,2.11E+02,6.38E+02,1.11E+02,1.44E+02,1.66E+02,5.69E+01,2.27E+03,1.48E-02,1.06E+02,3.19E+02,,F
,105-39-5,ETHYL CHLOROACETATE,8.80E+01,8.81E+01,8.82E+01,8.79E+01,3.35E+03,3.43E+00,5.82E+02,5.82E+02,4.40E+01,4.41E+01,4.41E+01,4.39E+01,1.67E+03,1.72E+00,2.91E+02,2.91E+02,,F
,10540-29-1,Tamoxifen,7.11E+04,1.03E+05,1.24E+05,1.78E+04,8.82E+05,1.42E+00,2.74E+03,2.74E+03,3.56E+04,5.16E+04,6.22E+04,8.92E+03,4.41E+05,7.10E-01,1.37E+03,1.37E+03,,F
,105-46-4,S-BUTYLACETATE,4.54E-02,4.54E-02,4.53E-02,4.54E-02,1.67E+01,3.63E-03,1.09E+00,1.09E+00,2.27E-02,2.27E-02,2.27E-02,2.27E-02,8.33E+00,1.81E-03,5.45E-01,5.45E-01,,F
,1058-92-0,MORDANT BLUE 13,1.83E+01,1.85E+01,1.86E+01,1.80E+01,8.15E+01,3.78E-20,2.43E+01,2.43E+01,9.14E+00,9.23E+00,9.29E+00,8.99E+00,4.07E+01,1.89E-20,1.22E+01,1.22E+01,,F
,106-40-1,P-BROMOANILINE,2.09E+00,2.15E+00,2.19E+00,1.98E+00,4.02E+02,4.54E-02,4.34E+01,4.66E+01,1.04E+00,1.08E+00,1.10E+00,9.91E-01,2.01E+02,2.27E-02,2.17E+01,2.33E+01,,F
,106-41-2,P-BROMOPHENOL,1.46E+02,1.66E+02,1.80E+02,1.12E+02,2.61E+03,5.70E-02,1.70E+02,1.70E+02,7.29E+01,8.31E+01,9.00E+01,5.58E+01,1.31E+03,2.85E-02,8.48E+01,8.51E+01,,F
,106-63-8,ISOBUTYL ACRYLATE,1.44E+00,1.45E+00,1.45E+00,1.44E+00,1.93E+03,1.18E-01,6.62E+01,6.62E+01,7.22E-01,7.24E-01,7.26E-01,7.18E-01,9.65E+02,5.88E-02,3.31E+01,3.31E+01,,F
,106-68-3,3-OCTANONE,1.22E-01,1.22E-01,1.22E-01,1.22E-01,2.78E+01,7.66E-03,1.42E+00,1.42E+00,6.11E-02,6.11E-02,6.10E-02,6.12E-02,1.39E+01,3.83E-03,7.11E-01,7.11E-01,,F
,106-69-4,"1,2,6-HEXANETRIOL",2.36E-01,2.53E-01,2.64E-01,2.08E-01,8.39E-01,7.07E-09,2.25E-01,2.25E-01,1.18E-01,1.27E-01,1.32E-01,1.04E-01,4.19E-01,3.54E-09,1.12E-01,1.12E-01,,F
,1067-97-6,Tributyl tin hydroxide,2.49E+02,3.25E+02,3.76E+02,1.21E+02,3.92E+04,1.53E-01,7.07E+01,7.07E+01,1.24E+02,1.62E+02,1.88E+02,6.06E+01,1.96E+04,7.66E-02,3.54E+01,3.54E+01,,F
,106-94-5,1-BROMOPROPANE,3.44E-02,3.46E-02,3.47E-02,3.41E-02,6.21E+01,3.01E-03,1.10E+00,1.10E+00,1.72E-02,1.73E-02,1.73E-02,1.70E-02,3.10E+01,1.51E-03,5.51E-01,5.51E-01,,F
,106-95-6,3-BROMO-1-PROPENE,4.80E-01,4.90E-01,4.96E-01,4.64E-01,6.32E+03,4.08E-02,1.56E+02,1.56E+02,2.40E-01,2.45E-01,2.48E-01,2.32E-01,3.16E+03,2.04E-02,7.78E+01,7.78E+01,,F
,107-03-9,1-PROPANETHIOL,3.77E+00,4.02E+00,4.18E+00,3.37E+00,6.36E+04,3.27E-01,8.97E+02,8.98E+02,1.89E+00,2.01E+00,2.09E+00,1.68E+00,3.18E+04,1.64E-01,4.49E+02,4.49E+02,,F
,1070-83-3,"Butanoic acid, 3,3-dimethyl-",3.36E-01,3.41E-01,3.45E-01,3.26E-01,7.17E+00,4.94E-06,4.82E-01,6.97E-01,1.68E-01,1.71E-01,1.72E-01,1.63E-01,3.58E+00,2.47E-06,2.41E-01,3.49E-01,,F
,107-12-0,PROPIONITRILE,1.91E-01,1.91E-01,1.91E-01,1.90E-01,4.57E+00,8.86E-03,9.42E-01,9.42E-01,9.53E-02,9.55E-02,9.55E-02,9.51E-02,2.28E+00,4.43E-03,4.71E-01,4.71E-01,,F
,107-14-2,CHLOROACETONITRILE,3.93E+02,3.94E+02,3.95E+02,3.92E+02,7.64E+03,9.05E+00,1.67E+03,1.67E+03,1.97E+02,1.97E+02,1.97E+02,1.96E+02,3.82E+03,4.53E+00,8.37E+02,8.37E+02,,F
,107-45-9,"2-Pentanamine, 2,4,4-trimethyl-",1.24E+02,1.84E+02,2.24E+02,2.43E+01,9.68E+02,8.50E-02,6.11E-01,6.16E-01,6.20E+01,9.18E+01,1.12E+02,1.22E+01,4.84E+02,4.25E-02,3.05E-01,3.08E-01,,F
,107-47-1,"Propane, 2,2'-thiobis 2-methyl-",2.83E-02,2.92E-02,2.99E-02,2.68E-02,1.68E+02,4.81E-03,8.30E-01,8.30E-01,1.42E-02,1.46E-02,1.49E-02,1.34E-02,8.38E+01,2.41E-03,4.15E-01,4.15E-01,,F
,107-66-4,DI-N-BUTYL PHOSPHATE,5.79E+01,7.87E+01,9.26E+01,2.32E+01,3.28E+02,4.43E-13,1.92E+01,1.92E+01,2.89E+01,3.93E+01,4.63E+01,1.16E+01,1.64E+02,2.21E-13,9.59E+00,9.59E+00,,F
,107-80-2,"Butane, 1,3-dibromo-",5.33E-03,5.38E-03,5.41E-03,5.25E-03,6.81E+00,4.06E-04,6.96E-02,6.96E-02,2.67E-03,2.69E-03,2.71E-03,2.63E-03,3.40E+00,2.03E-04,3.48E-02,3.48E-02,,F
,107-87-9,2-PENTANONE,4.95E-02,4.94E-02,4.94E-02,4.97E-02,4.58E+00,2.99E-03,6.91E-01,6.91E-01,2.48E-02,2.47E-02,2.47E-02,2.48E-02,2.29E+00,1.49E-03,3.45E-01,3.45E-01,,F
,108-11-2,4-METHYL-2-PENTANOL,9.86E-02,9.83E-02,9.81E-02,9.91E-02,1.47E+01,4.28E-03,1.51E+00,1.51E+00,4.93E-02,4.92E-02,4.91E-02,4.95E-02,7.33E+00,2.14E-03,7.56E-01,7.56E-01,,F
